	HGNC_ID	Ensembl	Gene_symbol	Source	Source_Date	Download_Date
330	HGNC:37280	ENSG00000224940	PRRT4	HPA	20210914	20210914
331	HGNC:10006	ENSG00000112077	RHAG	HPA	20210914	20210914
332	HGNC:10582	ENSG00000185313	SCN10A	HPA	20210914	20210914
333	HGNC:20665	ENSG00000166257	SCN3B	HPA	20210914	20210914
334	HGNC:10592	ENSG00000177098	SCN4B	HPA	20210914	20210914
335	HGNC:10594	ENSG00000136546	SCN7A	HPA	20210914	20210914
336	HGNC:10596	ENSG00000196876	SCN8A	HPA	20210914	20210914
337	HGNC:10597	ENSG00000169432	SCN9A	HPA	20210914	20210914
338	HGNC:16088	ENSG00000183605	SFXN4	HPA	20210914	20210914
339	HGNC:16073	ENSG00000144040	SFXN5	HPA	20210914	20210914
340	HGNC:10910	ENSG00000074803	SLC12A1	HPA	20210914	20210914
341	HGNC:13818	ENSG00000124140	SLC12A5	HPA	20210914	20210914
342	HGNC:10916	ENSG00000081800	SLC13A1	HPA	20210914	20210914
343	HGNC:14430	ENSG00000158296	SLC13A3	HPA	20210914	20210914
344	HGNC:10918	ENSG00000141469	SLC14A1	HPA	20210914	20210914
345	HGNC:23093	ENSG00000174326	SLC16A11	HPA	20210914	20210914
346	HGNC:16270	ENSG00000100156	SLC16A8	HPA	20210914	20210914
347	HGNC:10933	ENSG00000119899	SLC17A5	HPA	20210914	20210914
348	HGNC:10946	ENSG00000144136	SLC20A1	HPA	20210914	20210914
349	HGNC:10947	ENSG00000168575	SLC20A2	HPA	20210914	20210914
350	HGNC:18057	ENSG00000184999	SLC22A10	HPA	20210914	20210914
351	HGNC:17989	ENSG00000197891	SLC22A12	HPA	20210914	20210914
352	HGNC:23095	ENSG00000092096	SLC22A17	HPA	20210914	20210914
353	HGNC:21106	ENSG00000137266	SLC22A23	HPA	20210914	20210914
354	HGNC:10971	ENSG00000137204	SLC22A7	HPA	20210914	20210914
355	HGNC:10972	ENSG00000149452	SLC22A8	HPA	20210914	20210914
356	HGNC:10976	ENSG00000155886	SLC24A2	HPA	20210914	20210914
357	HGNC:10982	ENSG00000115840	SLC25A12	HPA	20210914	20210914
358	HGNC:10983	ENSG00000004864	SLC25A13	HPA	20210914	20210914
359	HGNC:10988	ENSG00000182902	SLC25A18	HPA	20210914	20210914
360	HGNC:1421	ENSG00000178537	SLC25A20	HPA	20210914	20210914
361	HGNC:19954	ENSG00000177542	SLC25A22	HPA	20210914	20210914
362	HGNC:19375	ENSG00000125648	SLC25A23	HPA	20210914	20210914
363	HGNC:20663	ENSG00000148339	SLC25A25	HPA	20210914	20210914
364	HGNC:11001	ENSG00000156222	SLC28A1	HPA	20210914	20210914
365	HGNC:11002	ENSG00000137860	SLC28A2	HPA	20210914	20210914
366	HGNC:23097	ENSG00000164638	SLC29A4	HPA	20210914	20210914
