	HGNC_ID	Gene_symbol	Biological_process	Source	Source_Date	Download_Date
14865	HGNC:9527	PSIP1	Transcription	HPA	20210914	20210914
14866	HGNC:9527	PSIP1	Transcription regulation	HPA	20210914	20210914
14867	HGNC:9530	PSMA1	Immunity	HPA	20210914	20210914
14868	HGNC:9532	PSMA3	Host-virus interaction	HPA	20210914	20210914
14869	HGNC:9533	PSMA4	Host-virus interaction	HPA	20210914	20210914
14870	HGNC:9536	PSMA7	Host-virus interaction	HPA	20210914	20210914
14871	HGNC:22985	PSMA8	Differentiation	HPA	20210914	20210914
14872	HGNC:22985	PSMA8	Spermatogenesis	HPA	20210914	20210914
14873	HGNC:9537	PSMB1	Host-virus interaction	HPA	20210914	20210914
14874	HGNC:9538	PSMB10	Host-virus interaction	HPA	20210914	20210914
14875	HGNC:9539	PSMB2	Host-virus interaction	HPA	20210914	20210914
14876	HGNC:9540	PSMB3	Host-virus interaction	HPA	20210914	20210914
14877	HGNC:9541	PSMB4	Host-virus interaction	HPA	20210914	20210914
14878	HGNC:9542	PSMB5	Host-virus interaction	HPA	20210914	20210914
14879	HGNC:9543	PSMB6	Host-virus interaction	HPA	20210914	20210914
14880	HGNC:9544	PSMB7	Host-virus interaction	HPA	20210914	20210914
14881	HGNC:9545	PSMB8	Differentiation	HPA	20210914	20210914
14882	HGNC:9545	PSMB8	Host-virus interaction	HPA	20210914	20210914
14883	HGNC:9545	PSMB8	Immunity	HPA	20210914	20210914
14884	HGNC:9546	PSMB9	Host-virus interaction	HPA	20210914	20210914
14885	HGNC:9546	PSMB9	Immunity	HPA	20210914	20210914
14886	HGNC:9549	PSMC3	Host-virus interaction	HPA	20210914	20210914
14887	HGNC:17928	PSMC3IP	DNA recombination	HPA	20210914	20210914
14888	HGNC:17928	PSMC3IP	Meiosis	HPA	20210914	20210914
14889	HGNC:9555	PSMD10	Apoptosis	HPA	20210914	20210914
14890	HGNC:16889	PSMD14	DNA damage	HPA	20210914	20210914
14891	HGNC:16889	PSMD14	DNA repair	HPA	20210914	20210914
14892	HGNC:16889	PSMD14	Ubl conjugation pathway	HPA	20210914	20210914
14893	HGNC:9570	PSME3	Apoptosis	HPA	20210914	20210914
14894	HGNC:9570	PSME3	Cell cycle	HPA	20210914	20210914
14895	HGNC:9570	PSME3	Host-virus interaction	HPA	20210914	20210914
14896	HGNC:20635	PSME4	Differentiation	HPA	20210914	20210914
14897	HGNC:20635	PSME4	DNA damage	HPA	20210914	20210914
14898	HGNC:20635	PSME4	DNA repair	HPA	20210914	20210914
14899	HGNC:20635	PSME4	Spermatogenesis	HPA	20210914	20210914
14900	HGNC:20320	PSPC1	Biological rhythms	HPA	20210914	20210914
14901	HGNC:20320	PSPC1	Immunity	HPA	20210914	20210914
14902	HGNC:20320	PSPC1	Innate immunity	HPA	20210914	20210914
14903	HGNC:20320	PSPC1	Transcription	HPA	20210914	20210914
14904	HGNC:20320	PSPC1	Transcription regulation	HPA	20210914	20210914
14905	HGNC:9577	PSPH	Amino-acid biosynthesis	HPA	20210914	20210914
14906	HGNC:9577	PSPH	Serine biosynthesis	HPA	20210914	20210914
14907	HGNC:24472	PSRC1	Cell cycle	HPA	20210914	20210914
14908	HGNC:24472	PSRC1	Cell division	HPA	20210914	20210914
14909	HGNC:24472	PSRC1	Mitosis	HPA	20210914	20210914
14910	HGNC:28578	PSTK	Protein biosynthesis	HPA	20210914	20210914
14911	HGNC:9580	PSTPIP1	Cell adhesion	HPA	20210914	20210914
14912	HGNC:9580	PSTPIP1	Endocytosis	HPA	20210914	20210914
14913	HGNC:9580	PSTPIP1	Immunity	HPA	20210914	20210914
14914	HGNC:9580	PSTPIP1	Inflammatory response	HPA	20210914	20210914
14915	HGNC:9580	PSTPIP1	Innate immunity	HPA	20210914	20210914
14916	HGNC:9582	PTAFR	Chemotaxis	HPA	20210914	20210914
14917	HGNC:9583	PTBP1	mRNA processing	HPA	20210914	20210914
14918	HGNC:9583	PTBP1	mRNA splicing	HPA	20210914	20210914
14919	HGNC:17662	PTBP2	mRNA processing	HPA	20210914	20210914
14920	HGNC:17662	PTBP2	mRNA splicing	HPA	20210914	20210914
14921	HGNC:10253	PTBP3	Differentiation	HPA	20210914	20210914
14922	HGNC:10253	PTBP3	Erythrocyte maturation	HPA	20210914	20210914
14923	HGNC:10253	PTBP3	mRNA processing	HPA	20210914	20210914
14924	HGNC:10253	PTBP3	mRNA splicing	HPA	20210914	20210914
14925	HGNC:22198	PTCD1	tRNA processing	HPA	20210914	20210914
14926	HGNC:25734	PTCD2	mRNA processing	HPA	20210914	20210914
14927	HGNC:24717	PTCD3	Translation regulation	HPA	20210914	20210914
14928	HGNC:9587	PTDSS1	Lipid biosynthesis	HPA	20210914	20210914
14929	HGNC:9587	PTDSS1	Lipid metabolism	HPA	20210914	20210914
14930	HGNC:9587	PTDSS1	Phospholipid biosynthesis	HPA	20210914	20210914
