HGNC_ID	Gene_symbol	Previous_symbol
HGNC:655	ARF4	ARF2
HGNC:657	ARF4P1	ARF4P
HGNC:15852	ARFGAP1	ARF1GAP
HGNC:13504	ARFGAP2	ZNF289
HGNC:661	ARFGAP3	ARFGAP1
HGNC:21213	ARFGEF3	C6orf92
HGNC:21213	ARFGEF3	KIAA1244
HGNC:675	ARHGAP5	GFI2
HGNC:20279	ARHGAP5-AS1	C14orf128
HGNC:15782	ARHGAP11B	FAM7B1
HGNC:19921	ARHGAP16P	ARHGAP15P
HGNC:31813	ARHGAP27	SH3D20
HGNC:23085	ARHGAP33	SNX26
HGNC:4591	ARHGAP35	GRLF1
HGNC:16226	ARHGAP40	C20orf95
HGNC:26545	ARHGAP42	TMEM133
HGNC:19327	ARHGAP42P3	OPHN1P1
HGNC:17102	ARHGAP45	HMHA1
HGNC:678	ARHGDIA	GDIA1
HGNC:679	ARHGDIB	RAP1GN1
HGNC:679	ARHGDIB	GDIA2
HGNC:679	ARHGDIB	GDID4
HGNC:685	ARHGEF6	MRX46
HGNC:33846	ARHGEF35	ARHGEF5L
HGNC:25909	ARHGEF39	C9orf100
HGNC:11110	ARID1A	C1orf4
HGNC:11110	ARID1A	SMARCF1
HGNC:3031	ARID3A	DRIL1
HGNC:9885	ARID4A	RBBP1
HGNC:15550	ARID4B	RBP1L1
HGNC:34425	ARIH2OS	C3orf71
HGNC:31732	ARIH2P1	ARIH2P
HGNC:17146	ARL2BP	RP66
HGNC:31036	ARL2BPP2	ARL2BPL
HGNC:695	ARL4A	ARL4
HGNC:17741	ARL4AP1	ARL4B
HGNC:17741	ARL4AP1	ARL4P
HGNC:32379	ARL4AP2	ARL4P2
HGNC:698	ARL4C	ARL7
HGNC:656	ARL4D	ARF4L
HGNC:696	ARL5A	ARL5
HGNC:23052	ARL5B	ARL8
HGNC:31111	ARL5C	ARL12
HGNC:13210	ARL6	BBS3
